order_id,datetime,hour,day,day_name,month,month_name,year,pizza_name,category,size,price,quantity,revenue
1,01-01-2015 11:38,11,1,Thursday,1,January,2015,The Hawaiian Pizza,Classic,M,13.25,1,13.25
2,01-01-2015 11:57,11,1,Thursday,1,January,2015,The Classic Deluxe Pizza,Classic,M,16,1,16
2,01-01-2015 11:57,11,1,Thursday,1,January,2015,The Five Cheese Pizza,Veggie,L,18.5,1,18.5
2,01-01-2015 11:57,11,1,Thursday,1,January,2015,The Italian Supreme Pizza,Supreme,L,20.75,1,20.75
2,01-01-2015 11:57,11,1,Thursday,1,January,2015,The Mexicana Pizza,Veggie,M,16,1,16
2,01-01-2015 11:57,11,1,Thursday,1,January,2015,The Thai Chicken Pizza,Chicken,L,20.75,1,20.75
3,01-01-2015 12:12,12,1,Thursday,1,January,2015,The Italian Supreme Pizza,Supreme,M,16.5,1,16.5
3,01-01-2015 12:12,12,1,Thursday,1,January,2015,The Prosciutto and Arugula Pizza,Supreme,L,20.75,1,20.75
4,01-01-2015 12:16,12,1,Thursday,1,January,2015,The Italian Supreme Pizza,Supreme,M,16.5,1,16.5
5,01-01-2015 12:21,12,1,Thursday,1,January,2015,The Italian Supreme Pizza,Supreme,M,16.5,1,16.5
6,01-01-2015 12:29,12,1,Thursday,1,January,2015,The Barbecue Chicken Pizza,Chicken,S,12.75,1,12.75
6,01-01-2015 12:29,12,1,Thursday,1,January,2015,The Greek Pizza,Classic,S,12,1,12
7,01-01-2015 12:50,12,1,Thursday,1,January,2015,The Spinach Supreme Pizza,Supreme,S,12.5,1,12.5
8,01-01-2015 12:51,12,1,Thursday,1,January,2015,The Spinach Supreme Pizza,Supreme,S,12.5,1,12.5
9,01-01-2015 12:52,12,1,Thursday,1,January,2015,The Classic Deluxe Pizza,Classic,S,12,1,12
9,01-01-2015 12:52,12,1,Thursday,1,January,2015,The Green Garden Pizza,Veggie,S,12,1,12
9,01-01-2015 12:52,12,1,Thursday,1,January,2015,The Italian Capocollo Pizza,Classic,L,20.5,1,20.5
9,01-01-2015 12:52,12,1,Thursday,1,January,2015,The Italian Supreme Pizza,Supreme,L,20.75,1,20.75
9,01-01-2015 12:52,12,1,Thursday,1,January,2015,The Italian Supreme Pizza,Supreme,S,12.5,1,12.5
9,01-01-2015 12:52,12,1,Thursday,1,January,2015,The Mexicana Pizza,Veggie,S,12,1,12
9,01-01-2015 12:52,12,1,Thursday,1,January,2015,The Spicy Italian Pizza,Supreme,L,20.75,1,20.75
9,01-01-2015 12:52,12,1,Thursday,1,January,2015,The Spinach Pesto Pizza,Veggie,L,20.75,1,20.75
9,01-01-2015 12:52,12,1,Thursday,1,January,2015,The Vegetables + Vegetables Pizza,Veggie,S,12,1,12
10,01-01-2015 13:00,13,1,Thursday,1,January,2015,The Mexicana Pizza,Veggie,L,20.25,1,20.25
10,01-01-2015 13:00,13,1,Thursday,1,January,2015,The Southwest Chicken Pizza,Chicken,L,20.75,1,20.75
11,01-01-2015 13:02,13,1,Thursday,1,January,2015,The Barbecue Chicken Pizza,Chicken,L,20.75,1,20.75
11,01-01-2015 13:02,13,1,Thursday,1,January,2015,The California Chicken Pizza,Chicken,L,20.75,1,20.75
11,01-01-2015 13:02,13,1,Thursday,1,January,2015,The California Chicken Pizza,Chicken,M,16.75,1,16.75
11,01-01-2015 13:02,13,1,Thursday,1,January,2015,The Pepperoni Pizza,Classic,L,15.25,1,15.25
12,01-01-2015 13:04,13,1,Thursday,1,January,2015,The California Chicken Pizza,Chicken,L,20.75,1,20.75
12,01-01-2015 13:04,13,1,Thursday,1,January,2015,The California Chicken Pizza,Chicken,S,12.75,1,12.75
12,01-01-2015 13:04,13,1,Thursday,1,January,2015,The Chicken Pesto Pizza,Chicken,L,20.75,1,20.75
12,01-01-2015 13:04,13,1,Thursday,1,January,2015,The Italian Supreme Pizza,Supreme,M,16.5,1,16.5
13,01-01-2015 13:11,13,1,Thursday,1,January,2015,The Mexicana Pizza,Veggie,L,20.25,1,20.25
14,01-01-2015 13:14,13,1,Thursday,1,January,2015,The Greek Pizza,Classic,S,12,1,12
15,01-01-2015 13:33,13,1,Thursday,1,January,2015,The Big Meat Pizza,Classic,S,12,1,12
15,01-01-2015 13:33,13,1,Thursday,1,January,2015,The Five Cheese Pizza,Veggie,L,18.5,1,18.5
15,01-01-2015 13:33,13,1,Thursday,1,January,2015,The Soppressata Pizza,Supreme,L,20.75,1,20.75
15,01-01-2015 13:33,13,1,Thursday,1,January,2015,The Greek Pizza,Classic,S,12,1,12
16,01-01-2015 13:34,13,1,Thursday,1,January,2015,The Four Cheese Pizza,Veggie,L,17.95,1,17.95
16,01-01-2015 13:34,13,1,Thursday,1,January,2015,The Napolitana Pizza,Classic,S,12,1,12
16,01-01-2015 13:34,13,1,Thursday,1,January,2015,The Thai Chicken Pizza,Chicken,L,20.75,1,20.75
17,01-01-2015 13:53,13,1,Thursday,1,January,2015,The Barbecue Chicken Pizza,Chicken,L,20.75,1,20.75
17,01-01-2015 13:53,13,1,Thursday,1,January,2015,The Calabrese Pizza,Supreme,M,16.25,1,16.25
17,01-01-2015 13:53,13,1,Thursday,1,January,2015,The Five Cheese Pizza,Veggie,L,18.5,1,18.5
17,01-01-2015 13:53,13,1,Thursday,1,January,2015,The Four Cheese Pizza,Veggie,M,14.75,1,14.75
17,01-01-2015 13:53,13,1,Thursday,1,January,2015,The Italian Supreme Pizza,Supreme,M,16.5,1,16.5
17,01-01-2015 13:53,13,1,Thursday,1,January,2015,The Italian Vegetables Pizza,Veggie,S,12.75,1,12.75
17,01-01-2015 13:53,13,1,Thursday,1,January,2015,The Mediterranean Pizza,Veggie,M,16,2,32
17,01-01-2015 13:53,13,1,Thursday,1,January,2015,The Mexicana Pizza,Veggie,L,20.25,1,20.25
17,01-01-2015 13:53,13,1,Thursday,1,January,2015,The Pepper Salami Pizza,Supreme,S,12.5,1,12.5
